asset_id,channel,file,archive_path,external_only,bytes,sha256,source_file,source_copy,readiness,readiness_holds,destination_status,source_sha256,width,height,pages
campaign-readme,instructions,downloads/publishing-kit/README.txt,README.txt,False,1645,f353e7473f5a2d7a386d3a80a2d0121990579f925818073434dbcbc2a9b42b13,campaign-data.js,,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,754ba9aeb0fcd8c69d1f595f418644921dd9428bb89fc8c09c9096e03ef28d96,,,
campaign-source,source data,downloads/publishing-kit/source-campaign.json,source-campaign.json,False,45550,1cb25ef7000537dd8aa5338d3d80904fb12a3efce31df6b61f4276068a9adfeb,campaign-data.js,CAMPAIGN,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,754ba9aeb0fcd8c69d1f595f418644921dd9428bb89fc8c09c9096e03ef28d96,,,
release-gates,evidence,downloads/publishing-kit/release-gates.json,release-gates.json,False,1468,f4026c4df7ffb0a71252dc063816148c48b99853ded6e0ba61f2859c2bf7996b,campaign-data.js,CAMPAIGN.gates,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,754ba9aeb0fcd8c69d1f595f418644921dd9428bb89fc8c09c9096e03ef28d96,,,
creative-provenance.json,source evidence,downloads/publishing-kit/evidence/creative-provenance.json,evidence/creative-provenance.json,False,8995,2292ef0427044ea3c8e93645e2c17396d3a94811978204afe07a4644d24bf4ba,creative-provenance.json,,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,2292ef0427044ea3c8e93645e2c17396d3a94811978204afe07a4644d24bf4ba,,,
w01,LinkedIn caption,downloads/publishing-kit/weeks/w01/caption.txt,weeks/w01/caption.txt,False,724,6d2be6b86ee778ce3609044e4b13fbb1b30469b7ac6cf31374d1e699e8d4190a,campaign-data.js,CAMPAIGN.weeks[id=w01].caption,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,754ba9aeb0fcd8c69d1f595f418644921dd9428bb89fc8c09c9096e03ef28d96,,,
w01,complete source copy,downloads/publishing-kit/weeks/w01/source-copy.json,weeks/w01/source-copy.json,False,1330,8eddc3e2945577ebee22ccdfef308a3aa63d97e316f04c017f8c3455691792ec,campaign-data.js,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,754ba9aeb0fcd8c69d1f595f418644921dd9428bb89fc8c09c9096e03ef28d96,,,
w01,instructions,downloads/publishing-kit/weeks/w01/README.txt,weeks/w01/README.txt,False,678,340852628691ebe10c4bd4d6db997d95be0d583d715e68ee78a2a84e37b58162,campaign-data.js,,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,754ba9aeb0fcd8c69d1f595f418644921dd9428bb89fc8c09c9096e03ef28d96,,,
w01-feed,social format export,downloads/publishing-kit/weeks/w01/w01-feed.png,weeks/w01/w01-feed.png,False,428172,67a81185626dc0f4d145cf04a35096d0a66754d64db777a74a2b62af4e8f8ec8,assets/exports/w01-feed.webp,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,df378eb8635f4d8e665287338202876d89b939fda15b5e81ed917106665cbb7a,1080,1350,
w01-square,social format export,downloads/publishing-kit/weeks/w01/w01-square.png,weeks/w01/w01-square.png,False,385624,e6b4a3b5f4f4c025e7b79658c303f10c26d7df4c602621584b054138d4cc5cf2,assets/exports/w01-square.webp,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,169fe1eda12818342edece49ec2dab0f4f184340b0ddeb2e868af4118d6d94c1,1080,1080,
w01-story,social format export,downloads/publishing-kit/weeks/w01/w01-story.png,weeks/w01/w01-story.png,False,517003,df791a7234937f13f500423e4bd1c5ae7a8c1afb2ac5092fbf3c83b58cab5358,assets/exports/w01-story.webp,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,e8cccbdda664b73234db127387cdd3a8be7472f1d4c7b204703b1934d48b290c,1080,1920,
