asset_id,channel,file,archive_path,external_only,bytes,sha256,source_file,source_copy,readiness,readiness_holds,destination_status,source_sha256,width,height,pages
campaign-readme,instructions,downloads/publishing-kit/README.txt,README.txt,False,1818,6a46c15911aa34ca7afa93b9a0a9fb5bdc607715a8beb044939cf2bce9c34088,campaign-data.js,,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,3e4fe0cb7bd76e0959ceb2683f2d8c8e36a9fdff743e6d9b5fcbe0b3c50dca8b,,,
campaign-source,source data,downloads/publishing-kit/source-campaign.json,source-campaign.json,False,51053,c09fcc1c048ef560a0b611f8a65eb7949fb56afe40919d3e49d838e53842ca1d,campaign-data.js,CAMPAIGN,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,3e4fe0cb7bd76e0959ceb2683f2d8c8e36a9fdff743e6d9b5fcbe0b3c50dca8b,,,
release-gates,evidence,downloads/publishing-kit/release-gates.json,release-gates.json,False,1468,f4026c4df7ffb0a71252dc063816148c48b99853ded6e0ba61f2859c2bf7996b,campaign-data.js,CAMPAIGN.gates,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,3e4fe0cb7bd76e0959ceb2683f2d8c8e36a9fdff743e6d9b5fcbe0b3c50dca8b,,,
creative-provenance.json,source evidence,downloads/publishing-kit/evidence/creative-provenance.json,evidence/creative-provenance.json,False,14516,4991cefccc3de3dd7f314251e76ebd24bd04e5d6f082b01d221ce3cf53092382,creative-provenance.json,,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,4991cefccc3de3dd7f314251e76ebd24bd04e5d6f082b01d221ce3cf53092382,,,
w01,LinkedIn caption,downloads/publishing-kit/weeks/w01/caption.txt,weeks/w01/caption.txt,False,724,6d2be6b86ee778ce3609044e4b13fbb1b30469b7ac6cf31374d1e699e8d4190a,campaign-data.js,CAMPAIGN.weeks[id=w01].caption,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,3e4fe0cb7bd76e0959ceb2683f2d8c8e36a9fdff743e6d9b5fcbe0b3c50dca8b,,,
w01,complete source copy,downloads/publishing-kit/weeks/w01/source-copy.json,weeks/w01/source-copy.json,False,1330,8eddc3e2945577ebee22ccdfef308a3aa63d97e316f04c017f8c3455691792ec,campaign-data.js,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,3e4fe0cb7bd76e0959ceb2683f2d8c8e36a9fdff743e6d9b5fcbe0b3c50dca8b,,,
w01,instructions,downloads/publishing-kit/weeks/w01/README.txt,weeks/w01/README.txt,False,678,340852628691ebe10c4bd4d6db997d95be0d583d715e68ee78a2a84e37b58162,campaign-data.js,,file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,3e4fe0cb7bd76e0959ceb2683f2d8c8e36a9fdff743e6d9b5fcbe0b3c50dca8b,,,
w01-feed,social format export,downloads/publishing-kit/weeks/w01/w01-feed.png,weeks/w01/w01-feed.png,False,400262,b750d679ed1d345b956126cf34f48b7937fb0b23d6eaf1f26462b9b0094d876f,assets/exports/w01-feed.webp,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,df378eb8635f4d8e665287338202876d89b939fda15b5e81ed917106665cbb7a,1080,1350,
w01-square,social format export,downloads/publishing-kit/weeks/w01/w01-square.png,weeks/w01/w01-square.png,False,360270,370a4ec7583b11a62d359827f190fd334c34d77e774f62ce27d4c3654391a497,assets/exports/w01-square.webp,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,169fe1eda12818342edece49ec2dab0f4f184340b0ddeb2e868af4118d6d94c1,1080,1080,
w01-story,social format export,downloads/publishing-kit/weeks/w01/w01-story.png,weeks/w01/w01-story.png,False,483307,4d12b76963bea323366c317c7529b8f33d9cfff81f912b8608c6caf8c693e470,assets/exports/w01-story.webp,CAMPAIGN.weeks[id=w01],file_exported; activation_held,"REVIEW ONLY — NOT ACTIVATED. Technical claims, destination/form/tracking, audience, owner and human release approval remain required. Source URLs are unverified; no publishing or send authority.",source_provided_unverified,e8cccbdda664b73234db127387cdd3a8be7472f1d4c7b204703b1934d48b290c,1080,1920,
