"chapter","channel","state","headline_or_subject","body_or_preheader","cta","alt_text","attribution"
"One more hour","Instagram and Facebook","Creative complete","One more hour. Use it well.","October gives us one more hour. Use it well. We have mapped three after-five Peninsula plans, each with timing, access and a weather fallback. Save the guide for the first long evening.","Open the October field guide","Illustrative campaign image of Cape Schanck lighthouse in a long coral evening, adapted from a real reference photograph.","Reference: Cape Schanck sunset by Ali Khiran, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"One more hour","Email","Creative complete","One more hour. Three ways to use it.","Practical after-five plans for the first long October evening.","Open the October field guide","Illustrative campaign image of Cape Schanck lighthouse in a long coral evening, adapted from a real reference photograph.","Reference: Cape Schanck sunset by Ali Khiran, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"One more hour","Website","Creative complete","One more hour. Use it well.","Three current after-five plans, each with timing, access and a weather alternative.","Open the October field guide","Illustrative campaign image of Cape Schanck lighthouse in a long coral evening, adapted from a real reference photograph.","Reference: Cape Schanck sunset by Ali Khiran, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"Read the other coast","Instagram and Facebook","Venue language held","Read the other coast.","Western Port rewards a slower read. We are building a day around pages, water and a quieter horizon, with every access note checked before publication. Save this one for 9 to 11 October.","Plan a Western Port day","Illustrative campaign image looking along Flinders Pier in pale spring light, adapted from a real reference photograph.","Reference: Flinders Pier by Daniel Kabel, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"Read the other coast","Email","Venue language held","Read the other coast.","Your Western Port plan, with current access notes and a picnic fallback.","Plan a Western Port day","Illustrative campaign image looking along Flinders Pier in pale spring light, adapted from a real reference photograph.","Reference: Flinders Pier by Daniel Kabel, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"Read the other coast","Website","Venue language held","Read the other coast.","Current access, session choices and a field-guide fallback.","See the verified plan","Illustrative campaign image looking along Flinders Pier in pale spring light, adapted from a real reference photograph.","Reference: Flinders Pier by Daniel Kabel, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"Keep the weekend","Instagram and Facebook","Final booking check","Walk Saturday. Garden Sunday.","Two separate reasons to keep the Mornington weekend, with current booking and access notes gathered in one useful plan.","Build your weekend","Illustrative campaign image of footprints and scattered petals on a Peninsula beach, adapted from a real St Andrews Beach photograph.","Reference: St Andrews Beach footprints by Alex Wigan, CC0. AI-assisted adaptation."
"Keep the weekend","Email","Final booking check","Keep the Mornington weekend.","A community walk on Saturday, a garden plan on Sunday.","Build your weekend","Illustrative campaign image of footprints and scattered petals on a Peninsula beach, adapted from a real St Andrews Beach photograph.","Reference: St Andrews Beach footprints by Alex Wigan, CC0. AI-assisted adaptation."
"Keep the weekend","Website","Final booking check","Walk Saturday. Garden Sunday.","Two separate plans with current booking and access notes.","Build your weekend","Illustrative campaign image of footprints and scattered petals on a Peninsula beach, adapted from a real St Andrews Beach photograph.","Reference: St Andrews Beach footprints by Alex Wigan, CC0. AI-assisted adaptation."
"The long finish","Instagram and Facebook","Motion rerender held","Thirty-five kilometres of coast.","Whether you are walking, supporting or simply curious, our route guide turns a very long day into a clear plan.","Read the route guide","Illustrative campaign image of the Point Nepean coast in long late light, adapted from a real reference photograph.","Reference: Point Nepean coast by Philip Mallis, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"The long finish","Email","Motion rerender held","Thirty-five kilometres of coast.","The route, the support plan and what to know before 25 October.","Read the route guide","Illustrative campaign image of the Point Nepean coast in long late light, adapted from a real reference photograph.","Reference: Point Nepean coast by Philip Mallis, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
"The long finish","Website","Motion rerender held","Thirty-five kilometres of coast.","Participating, supporting or following: start with the right plan.","Read the route guide","Illustrative campaign image of the Point Nepean coast in long late light, adapted from a real reference photograph.","Reference: Point Nepean coast by Philip Mallis, CC BY-SA 4.0. AI-assisted adaptation. https://creativecommons.org/licenses/by-sa/4.0/"
