"week","phase","brand","channel","asset","cta","owner","status"
"1","Recognise","M2M Connectivity","LinkedIn organic","problem post + landing hero","Review the design questions","Assign campaign owner","Draft / approval required"
"1","Recognise","M2M One Australia","Email nurture","problem post + landing hero","Review the design questions","Assign campaign owner","Draft / approval required"
"2","Recognise","M2M Connectivity","Email nurture","message-priority email","Review the design questions","Assign campaign owner","Draft / approval required"
"2","Recognise","M2M One Australia","Landing page","message-priority email","Review the design questions","Assign campaign owner","Draft / approval required"
"3","Prove","M2M Connectivity","Landing page","proof document","Review the design questions","Assign campaign owner","Draft / approval required"
"3","Prove","M2M One Australia","Sales follow-up","proof document","Review the design questions","Assign campaign owner","Draft / approval required"
"4","Prove","M2M Connectivity","Sales follow-up","vertical use-case post","Review the design questions","Assign campaign owner","Draft / approval required"
"4","Prove","M2M One Australia","Retargeting","vertical use-case post","Review the design questions","Assign campaign owner","Draft / approval required"
"5","Convert","M2M Connectivity","Retargeting","readiness guide","Review the design questions","Assign campaign owner","Draft / approval required"
"5","Convert","M2M One Australia","Partner outreach","readiness guide","Review the design questions","Assign campaign owner","Draft / approval required"
"6","Convert","M2M Connectivity","Partner outreach","design conversation follow-up","Review the design questions","Assign campaign owner","Draft / approval required"
"6","Convert","M2M One Australia","LinkedIn organic","design conversation follow-up","Review the design questions","Assign campaign owner","Draft / approval required"
