date,day,week,channel,asset,title,purpose,status,release_gate
2026-09-08,Tue 08 Sep,Week 1,Peninsula Insider website - anchor,S1-WEB,Paper before lunch,Open the weekly decision,Proposed - held,Editorial acceptance + released/read-back route
2026-09-10,Thu 10 Sep,Week 1,Instagram Feed - carousel,S1-FEED,Five-slide decision,Make the half-day saveable,Proposed - held,Caption + alt text + social executor
2026-09-12,Sat 12 Sep,Week 1,Instagram Stories - sequence,S1-STORY,Three-frame prompt,Prompt the weekend choice,Proposed - held,Sticker route + social executor
2026-09-13,Sun 13 Sep,Week 1,Peninsula Insider website - dispatch,S1-DSP,Make one show the plan,Forward the useful decision,Proposed - held,Current MPRG check + released route
2026-09-13,Sun 13 Sep,Week 1,The Insider Note - email,S1-EML,One show before lunch,Deliver the Sunday note,Proposed - held,Sender + consent + footer + suppression controls
2026-09-15,Tue 15 Sep,Week 2,Peninsula Insider website - anchor,S2-WEB,One walk two lengths,Open the route decision,Proposed - held,Route identity + local judgement + released route
2026-09-17,Thu 17 Sep,Week 2,Instagram Feed - carousel,S2-FEED,Short or long,Make the comparison saveable,Proposed - held,Caption + alt text + social executor
2026-09-19,Sat 19 Sep,Week 2,Instagram Stories - sequence,S2-STORY,Choose the length first,Prompt a route choice,Proposed - held,Live conditions + sticker route
2026-09-20,Sun 20 Sep,Week 2,Peninsula Insider website - dispatch,S2-DSP,Plan 26-27 September,Put the walk into consideration,Proposed - held,Parks Victoria check + released route
2026-09-20,Sun 20 Sep,Week 2,The Insider Note - email,S2-EML,Short walk or long walk,Deliver the Sunday comparison,Proposed - held,Sender + consent + footer + suppression controls
2026-09-21,Mon 21 Sep,Week 3,Peninsula Insider website - anchor,S3-WEB,Choose the day shape first,Open the holiday framework,Proposed - held,Programme checks + family review + released route
2026-09-22,Tue 22 Sep,Week 3,Instagram Feed - carousel,S3-FEED,School holidays fewer tabs,Make the framework saveable,Proposed - held,Caption + alt text + social executor
2026-09-24,Thu 24 Sep,Week 3,Instagram Stories - sequence,S3-STORY,What does today need,Prompt one day shape,Proposed - held,Operator checks + sticker route
2026-09-24,Thu 24 Sep,Week 3,Peninsula Insider website - dispatch,S3-DSP,The public-holiday weekend,Reach readers before Friday,Proposed - held,Public-holiday hours + released route
2026-09-24,Thu 24 Sep,Week 3,The Insider Note - email,S3-EML,Pick the shape before the venue,Deliver before the long weekend,Proposed - held,Sender + consent + footer + suppression controls
2026-09-30,Wed 30 Sep,Week 4,Peninsula Insider website - anchor,S4-WEB,Leave the middle loose,Open the two-point plan,Proposed - held,Market recheck + released/read-back route
2026-10-01,Thu 01 Oct,Week 4,Instagram Feed - carousel,S4-FEED,The Spring reset weekend,Make the plan saveable,Proposed - held,Caption + alt text + social executor
2026-10-02,Fri 02 Oct,Week 4,Instagram Stories - sequence,S4-STORY,Saturday morning Sunday evening,Prompt the exact-date plan,Proposed - held,Live market details + sticker route
2026-10-02,Fri 02 Oct,Week 4,Peninsula Insider website - dispatch,S4-DSP,Fix two points,Reach readers before 3-4 October,Proposed - held,24-hour market check + released route
2026-10-02,Fri 02 Oct,Week 4,The Insider Note - email,S4-EML,Leave the middle open,Deliver before the weekend,Proposed - held,Sender + consent + footer + suppression controls
