week,phase,theme,message,channel,action
"1","recognise","Week 1 theme","One module. Both layers. Your logic.","LinkedIn","Publish week 1 LinkedIn piece"
"1","recognise","Week 1 theme","One module. Both layers. Your logic.","Email","Publish week 1 Email piece"
"2","recognise","Week 2 theme","One module. Both layers. Your logic. (week 2)","LinkedIn","Publish week 2 LinkedIn piece"
"2","recognise","Week 2 theme","One module. Both layers. Your logic. (week 2)","Email","Publish week 2 Email piece"
"3","recognise","Week 3 theme","One module. Both layers. Your logic. (week 3)","LinkedIn","Publish week 3 LinkedIn piece"
"3","recognise","Week 3 theme","One module. Both layers. Your logic. (week 3)","Email","Publish week 3 Email piece"
"4","prove","Week 4 theme","One module. Both layers. Your logic. (week 4)","LinkedIn","Publish week 4 LinkedIn piece"
"4","prove","Week 4 theme","One module. Both layers. Your logic. (week 4)","Email","Publish week 4 Email piece"
"5","prove","Week 5 theme","One module. Both layers. Your logic. (week 5)","LinkedIn","Publish week 5 LinkedIn piece"
"5","prove","Week 5 theme","One module. Both layers. Your logic. (week 5)","Email","Publish week 5 Email piece"
"6","prove","Week 6 theme","One module. Both layers. Your logic. (week 6)","LinkedIn","Publish week 6 LinkedIn piece"
"6","prove","Week 6 theme","One module. Both layers. Your logic. (week 6)","Email","Publish week 6 Email piece"
"7","prove","Week 7 theme","One module. Both layers. Your logic. (week 7)","LinkedIn","Publish week 7 LinkedIn piece"
"7","prove","Week 7 theme","One module. Both layers. Your logic. (week 7)","Email","Publish week 7 Email piece"
"8","prove","Week 8 theme","One module. Both layers. Your logic. (week 8)","LinkedIn","Publish week 8 LinkedIn piece"
"8","prove","Week 8 theme","One module. Both layers. Your logic. (week 8)","Email","Publish week 8 Email piece"
"9","convert","Week 9 theme","One module. Both layers. Your logic. (week 9)","LinkedIn","Publish week 9 LinkedIn piece"
"9","convert","Week 9 theme","One module. Both layers. Your logic. (week 9)","Email","Publish week 9 Email piece"
"10","convert","Week 10 theme","One module. Both layers. Your logic. (week 10)","LinkedIn","Publish week 10 LinkedIn piece"
"10","convert","Week 10 theme","One module. Both layers. Your logic. (week 10)","Email","Publish week 10 Email piece"
"11","convert","Week 11 theme","One module. Both layers. Your logic. (week 11)","LinkedIn","Publish week 11 LinkedIn piece"
"11","convert","Week 11 theme","One module. Both layers. Your logic. (week 11)","Email","Publish week 11 Email piece"
"12","convert","Week 12 theme","One module. Both layers. Your logic. (week 12)","LinkedIn","Publish week 12 LinkedIn piece"
"12","convert","Week 12 theme","One module. Both layers. Your logic. (week 12)","Email","Publish week 12 Email piece"
