date,day,week,post_id,format,theme,title,primary_asset,secondary_asset,status
"2026-09-07","Mon 7 Sep","1","p01","tile","The operating-model reframe","Your operating model is the bottleneck. Not your team.","assets/p01-operating-model-bottleneck.png","","Draft - publication approval required"
"2026-09-09","Wed 9 Sep","1","p02","carousel","Coordination-tax diagnostic","Seven signs you are paying a coordination tax","assets/p02-coordination-tax-slide-01.png","assets/p02-coordination-tax-carousel.pdf","Draft - publication approval required"
"2026-09-11","Fri 11 Sep","1","p03","motion","Scaling the nodes, not the routing","Ten people to forty. Same routing architecture.","assets/p03-routing-architecture.mp4","assets/p03-routing-architecture-poster.png","Draft - publication approval required"
"2026-09-14","Mon 14 Sep","2","p04","tile","The knowledge-system reframe","Your AI needs a filing system. Not another database.","assets/p04-filing-system.png","","Draft - publication approval required"
"2026-09-16","Wed 16 Sep","2","p05","carousel","Choosing structured files or RAG","When structured files beat RAG (and when they do not)","assets/p05-files-versus-rag-slide-01.png","assets/p05-files-versus-rag-carousel.pdf","Draft - publication approval required"
"2026-09-18","Fri 18 Sep","2","p06","motion","Knowledge becomes navigable","From scattered documents to navigable knowledge","assets/p06-navigable-knowledge.mp4","assets/p06-navigable-knowledge-poster.png","Draft - publication approval required"
"2026-09-21","Mon 21 Sep","3","p07","tile","Founder as router","If every decision returns to the founder, the system is not installed.","assets/p07-founder-router.png","","Draft - publication approval required"
"2026-09-23","Wed 23 Sep","3","p08","carousel","Governed decision boundaries","What agents decide, recommend, escalate and never do","assets/p08-agent-boundaries-slide-01.png","assets/p08-agent-boundaries-carousel.pdf","Draft - publication approval required"
"2026-09-25","Fri 25 Sep","3","p09","motion","Authority gate in motion","Remove dependency. Retain authority.","assets/p09-retain-authority.mp4","assets/p09-retain-authority-poster.png","Draft - publication approval required"
"2026-09-28","Mon 28 Sep","4","p10","tile","From activity to infrastructure","Campaigns are tactics. Engines are infrastructure.","assets/p10-campaigns-versus-engines.png","","Draft - publication approval required"
"2026-09-30","Wed 30 Sep","4","p11","carousel","Reset versus compound","Campaign versus engine: reset or compound?","assets/p11-campaign-engine-slide-01.png","assets/p11-campaign-engine-carousel.pdf","Draft - publication approval required"
"2026-10-02","Fri 2 Oct","4","p12","motion","Diagnostic conversion","What is coordination drag costing?","assets/p12-drag-check.mp4","assets/p12-drag-check-poster.png","Draft - publication approval required"
