"week","date","phase","channel","asset","purpose","state"
"1","2026-09-22","recognise","LinkedIn","Where does your device lose coverage?","Coverage boundary","Copy + creative ready"
"1","2026-09-24","recognise","Email","Email 01 + landing hero","Launch the coverage problem and guide route","Review ready"
"1","2026-09-25","recognise","Sales / SI","Map one representative route","Human follow-up after qualified intent","Script ready"
"2","2026-09-29","recognise","LinkedIn","What does one missed transmission cost?","Cost of silence","Copy + creative ready"
"2","2026-10-01","recognise","Email","Email 02 + retargeting","Rank missed-transmission consequences","Review ready"
"2","2026-10-02","recognise","Sales / SI","Prioritise one message set","Human follow-up after qualified intent","Script ready"
"3","2026-10-06","recognise","LinkedIn","Hybrid is a design decision—not a magic switch.","Architecture truth","Copy + creative ready"
"3","2026-10-08","recognise","LinkedIn document","Architecture truth","Developer-defined routing and fallback","Review ready"
"3","2026-10-09","recognise","Sales / SI","Offer architecture review","Human follow-up after qualified intent","Script ready"
"4","2026-10-13","prove","LinkedIn","Visibility beyond the predictable route.","Asset tracking","Copy + creative ready"
"4","2026-10-15","prove","Email + web","Asset tracking proof","Segment email and vertical landing block","Review ready"
"4","2026-10-16","prove","Sales / SI","Asset-tracking talk track","Human follow-up after qualified intent","Script ready"
"5","2026-10-20","prove","LinkedIn","Monitoring does not stop at the fence line.","Agtech","Copy + creative ready"
"5","2026-10-22","prove","Email + web","Agtech proof","Segment email and vertical landing block","Review ready"
"5","2026-10-23","prove","Sales / SI","Agtech talk track","Human follow-up after qualified intent","Script ready"
"6","2026-10-27","prove","LinkedIn","When the site is remote, the data still matters.","Environmental monitoring","Copy + creative ready"
"6","2026-10-29","prove","Engineering explainer","Environmental proof","Carousel and landing block","Review ready"
"6","2026-10-30","prove","Sales / SI","Environmental-monitoring talk track","Human follow-up after qualified intent","Script ready"
"7","2026-11-03","prove","LinkedIn","Design for the hour no one can drive out.","Remote equipment","Copy + creative ready"
"7","2026-11-05","prove","Email + retargeting","Remote equipment proof","Segment email and exception-path retargeting","Review ready"
"7","2026-11-06","prove","Sales / SI","Remote-equipment talk track","Human follow-up after qualified intent","Script ready"
"8","2026-11-10","prove","LinkedIn","Connectivity is part of the safety plan.","Field safety","Copy + creative ready"
"8","2026-11-12","prove","Email + web","Field-safety proof","Segment email and qualified caveat","Review ready"
"8","2026-11-13","prove","Sales / SI","Field-safety governed talk track","Human follow-up after qualified intent","Script ready"
"9","2026-11-17","convert","LinkedIn","One module. Both layers. Your logic.","Engineering proof","Copy + creative ready"
"9","2026-11-19","convert","Technical document","One module. Both layers.","Engineering proof and SI enablement","Review ready"
"9","2026-11-20","convert","Sales / SI","SI technical follow-up","Human follow-up after qualified intent","Script ready"
"10","2026-11-24","convert","LinkedIn","Map the gap before you map the hardware.","Readiness checklist","Copy + creative ready"
"10","2026-11-26","convert","Guide + email","Readiness checklist","Release conversion object and follow-up","Review ready"
"10","2026-11-27","convert","Sales / SI","Guide download follow-up","Human follow-up after qualified intent","Script ready"
"11","2026-12-01","convert","LinkedIn","Bring the coverage problem. Leave with a design path.","Design clinic","Copy + creative ready"
"11","2026-12-03","convert","Email + web","Design clinic EOI","Proposed-event interest only","Review ready"
"11","2026-12-04","convert","Sales / SI","Clinic EOI qualification","Human follow-up after qualified intent","Script ready"
"12","2026-12-08","convert","LinkedIn","Ready to design beyond dependable coverage?","Design conversation","Copy + creative ready"
"12","2026-12-10","convert","Retargeting","Design conversation","High-intent conversion close","Review ready"
"12","2026-12-11","convert","Sales / SI","Design-session qualification","Human follow-up after qualified intent","Script ready"
